order_id,customer_id,order_date,order_status,payment_method,sales_channel,gross_amount,discount_amount,shipping_fee,final_amount,delivered_date
O00001,C0047,10-06-2024,Delivered,Debit Card,Mobile App,424.15,74.85,49,473.15,2024-06-14
O00002,C0016,18-02-2025,Delivered,Credit Card,Website,349.0,0.0,40,389.0,2025-02-21
O00003,C0191,03-12-2025,Delivered,Credit Card,Website,1467.4,229.6,0,1467.4,2025-12-09
O00004,C0087,10-08-2025,Delivered,Credit Card,Website,663.1,34.9,49,712.1,2025-08-17
O00005,C0211,17-07-2025,Delivered,UPI,Website,1511.35,134.65,0,1511.35,2025-07-23
O00006,C0401,11-05-2025,Delivered,UPI,Website,424.15,74.85,49,473.15,2025-05-13
O00007,C0272,01-01-2025,In Transit,COD,Website,2335.15,59.85,0,2335.15,
O00008,C0434,01-02-2025,Cancelled,Net Banking,Website,1037.2,59.8,0,0.0,
O00009,C0289,25-05-2024,Delivered,COD,Mobile App,699.0,0.0,0,699.0,2024-05-28
O00010,C0104,13-05-2024,Delivered,Net Banking,Mobile App,649.0,0.0,40,689.0,2024-05-20
O00011,C0492,15-03-2024,Returned,UPI,Website,559.2,139.8,59,618.2,2024-03-23
O00012,C0476,20-09-2025,Delivered,Credit Card,Website,254.15,44.85,59,313.15,2025-09-28
O00013,C0472,18-09-2025,Delivered,COD,Website,690.85,157.15,59,749.85,2025-09-24
O00014,C0355,10-03-2024,Delivered,Debit Card,Website,379.05,19.95,49,428.05,2024-03-14
O00015,C0334,04-12-2025,Delivered,Net Banking,Website,569.05,29.95,49,618.05,2025-12-07
O00016,C0458,09-05-2025,Delivered,Debit Card,Mobile App,449.25,149.75,49,498.25,2025-05-14
O00017,C0374,07-07-2025,Delivered,UPI,Website,1058.15,89.85,0,1058.15,2025-07-12
O00018,C0150,24-03-2024,Delivered,Debit Card,Website,1349.6,47.4,0,1349.6,2024-03-31
O00019,C0078,14-12-2025,Delivered,UPI,Website,2384.7,309.3,0,2384.7,2025-12-20
O00020,C0462,13-06-2025,Delivered,Credit Card,Website,1891.5,304.5,0,1891.5,2025-06-22
O00021,C0164,16-08-2025,Delivered,Net Banking,Website,1741.35,154.65,0,1741.35,2025-08-19
O00022,C0451,18-12-2024,Delivered,Debit Card,Mobile App,584.1,64.9,59,643.1,2024-12-23
O00023,C0382,01-05-2025,Returned,UPI,Mobile App,594.15,104.85,40,634.15,2025-05-10
O00024,C0165,02-10-2024,Delivered,UPI,Website,1723.55,22.45,0,1723.55,2024-10-08
O00025,C0292,22-10-2024,Delivered,Credit Card,Marketplace,1038.1,59.9,0,1038.1,2024-10-26
O00026,C0091,30-04-2025,Delivered,UPI,Mobile App,823.25,174.75,0,823.25,2025-05-07
O00027,C0347,30-07-2024,Delivered,UPI,Mobile App,1063.15,84.85,0,1063.15,2024-08-05
O00028,C0437,23-12-2024,Delivered,UPI,Website,2110.95,484.05,0,2110.95,2024-12-28
O00029,C0142,17-10-2025,Delivered,Debit Card,Marketplace,1412.3,134.7,0,1412.3,2025-10-21
O00030,C0255,29-10-2024,Delivered,UPI,Website,1025.7,122.3,0,1025.7,2024-11-05
O00031,C0260,03-11-2024,Cancelled,Net Banking,Website,594.15,104.85,0,0.0,
O00032,C0391,06-07-2024,Returned,Debit Card,Website,639.2,159.8,49,688.2,2024-07-09
O00033,C0299,17-08-2025,Delivered,Net Banking,Website,1841.25,154.75,0,1841.25,2025-08-21
O00034,C0250,06-12-2024,Delivered,Debit Card,Website,296.65,52.35,49,345.65,2024-12-12
O00035,C0067,21-09-2025,Delivered,Credit Card,Website,299.25,99.75,49,348.25,2025-09-27
O00036,C0010,18-10-2025,Delivered,Net Banking,Website,449.0,0.0,40,489.0,2025-10-22
O00037,C0069,16-12-2024,Delivered,Debit Card,Website,2225.4,219.6,0,2225.4,2024-12-22
O00038,C0320,19-02-2024,Delivered,UPI,Mobile App,699.0,0.0,0,699.0,2024-02-22
O00039,C0106,12-12-2025,Delivered,Credit Card,Website,426.55,22.45,40,466.55,2025-12-17
O00040,C0145,26-04-2024,Delivered,Credit Card,Mobile App,528.2,69.8,59,587.2,2024-05-04
O00041,C0465,23-04-2024,Delivered,UPI,Website,331.55,17.45,40,371.55,2024-04-27
O00042,C0136,22-10-2024,Cancelled,UPI,Mobile App,1118.4,279.6,0,0.0,
O00043,C0005,21-05-2024,Delivered,UPI,Website,2047.25,149.75,0,2047.25,2024-05-24
O00044,C0454,15-10-2025,In Transit,Net Banking,Website,1374.15,271.85,0,1374.15,
O00045,C0457,13-05-2024,Delivered,Net Banking,Website,239.2,59.8,59,298.2,2024-05-19
O00046,C0290,17-08-2024,Delivered,UPI,Website,853.1,44.9,0,853.1,2024-08-24
O00047,C0314,30-10-2024,Cancelled,Net Banking,Mobile App,336.75,112.25,0,0.0,
O00048,C0026,03-06-2025,Delivered,UPI,Website,319.2,79.8,49,368.2,2025-06-07
O00049,C0382,27-01-2025,Delivered,Credit Card,Mobile App,1122.3,124.7,0,1122.3,2025-01-31
O00050,C0419,16-08-2024,Delivered,Debit Card,Mobile App,645.65,52.35,59,704.65,2024-08-24
O00051,C0460,17-06-2024,Cancelled,Debit Card,Website,559.2,139.8,0,0.0,
O00052,C0111,13-04-2025,Delivered,UPI,Mobile App,449.0,0.0,49,498.0,2025-04-17
O00053,C0259,17-05-2024,Delivered,Debit Card,Mobile App,848.3,149.7,0,848.3,2024-05-24
O00054,C0089,24-10-2025,Delivered,UPI,Mobile App,474.05,24.95,49,523.05,2025-11-01
O00055,C0232,18-08-2025,Delivered,Debit Card,Mobile App,830.65,67.35,0,830.65,2025-08-23
O00056,C0333,01-07-2024,Delivered,UPI,Website,314.1,34.9,49,363.1,2024-07-06
O00057,C0274,19-10-2024,Delivered,UPI,Website,569.05,29.95,40,609.05,2024-10-28
O00058,C0075,04-03-2024,Delivered,Debit Card,Website,1278.3,219.7,0,1278.3,2024-03-07
O00059,C0409,13-12-2025,Delivered,COD,Website,1594.0,252.0,0,1594.0,2025-12-20
O00060,C0332,11-01-2025,Delivered,Credit Card,Mobile App,2161.2,134.8,0,2161.2,2025-01-15
O00061,C0080,14-11-2024,Delivered,COD,Mobile App,855.7,92.3,0,855.7,2024-11-17
O00062,C0207,04-04-2024,Returned,Debit Card,Website,359.1,39.9,59,418.1,2024-04-10
O00063,C0125,10-02-2024,Delivered,COD,Marketplace,319.2,79.8,49,368.2,2024-02-15
O00064,C0250,14-02-2024,Delivered,UPI,Website,224.1,24.9,59,283.1,2024-02-16
O00065,C0397,06-08-2024,Delivered,UPI,Website,598.2,49.8,49,647.2,2024-08-12
O00066,C0286,13-03-2024,Delivered,UPI,Website,853.2,94.8,0,853.2,2024-03-19
O00067,C0359,15-03-2024,Delivered,UPI,Mobile App,1043.15,104.85,0,1043.15,2024-03-18
O00068,C0408,12-07-2025,Delivered,UPI,Mobile App,2747.75,97.25,0,2747.75,2025-07-18
O00069,C0109,26-02-2025,Cancelled,UPI,Website,1133.25,164.75,0,0.0,
O00070,C0282,17-04-2025,Delivered,Debit Card,Website,948.1,49.9,0,948.1,2025-04-22
O00071,C0163,12-05-2025,Delivered,UPI,Mobile App,1108.05,39.95,0,1108.05,2025-05-18
O00072,C0450,06-05-2025,Delivered,UPI,Mobile App,798.4,199.6,0,798.4,2025-05-09
O00073,C0135,10-08-2024,Cancelled,Debit Card,Mobile App,1637.25,159.75,0,0.0,
O00074,C0335,01-06-2024,Delivered,Debit Card,Mobile App,331.55,17.45,59,390.55,2024-06-03
O00075,C0229,20-08-2025,Cancelled,UPI,Mobile App,1973.75,122.25,0,0.0,
O00076,C0470,10-04-2025,Delivered,Debit Card,Website,2037.9,207.1,0,2037.9,2025-04-13
O00077,C0455,29-10-2024,Delivered,UPI,Mobile App,551.65,97.35,40,591.65,2024-11-03
O00078,C0346,05-05-2025,Delivered,Debit Card,Website,699.0,0.0,0,699.0,2025-05-10
O00079,C0076,30-10-2024,In Transit,Credit Card,Mobile App,284.05,14.95,40,324.05,
O00080,C0111,04-04-2025,Delivered,Credit Card,Website,551.65,97.35,59,610.65,2025-04-09
O00081,C0303,11-03-2024,Delivered,UPI,Website,1971.3,174.7,0,1971.3,2024-03-14
O00082,C0067,09-09-2025,Delivered,COD,Mobile App,678.3,119.7,49,727.3,2025-09-12
O00083,C0405,25-01-2025,Delivered,COD,Mobile App,858.3,139.7,0,858.3,2025-01-30
O00084,C0296,16-08-2024,Delivered,Debit Card,Website,616.55,32.45,59,675.55,2024-08-20
O00085,C0387,27-07-2024,Delivered,Credit Card,Website,569.05,29.95,59,628.05,2024-07-31
O00086,C0401,17-12-2025,Delivered,Credit Card,Mobile App,680.7,67.3,40,720.7,2025-12-21
O00087,C0046,06-03-2024,Delivered,Credit Card,Mobile App,2195.0,0.0,0,2195.0,2024-03-13
O00088,C0266,19-10-2024,Delivered,Credit Card,Mobile App,555.8,92.2,49,604.8,2024-10-23
O00089,C0471,02-04-2024,Delivered,Credit Card,Mobile App,299.25,99.75,49,348.25,2024-04-10
O00090,C0134,28-06-2024,Delivered,UPI,Website,1696.6,299.4,0,1696.6,2024-07-04
O00091,C0235,28-11-2025,Delivered,UPI,Website,1144.95,202.05,0,1144.95,2025-12-01
O00092,C0359,26-09-2024,Delivered,Debit Card,Mobile App,426.55,22.45,59,485.55,2024-09-29
O00093,C0350,13-07-2024,Delivered,Debit Card,Mobile App,629.1,69.9,40,669.1,2024-07-19
O00094,C0253,10-08-2025,Cancelled,UPI,Website,1752.2,144.8,0,0.0,
O00095,C0270,09-03-2025,Delivered,Credit Card,Website,833.1,64.9,0,833.1,2025-03-12
O00096,C0167,05-01-2025,Delivered,Credit Card,Website,404.1,44.9,40,444.1,2025-01-09
O00097,C0187,14-02-2025,Delivered,UPI,Mobile App,664.05,34.95,49,713.05,2025-02-21
O00098,C0091,07-03-2025,In Transit,Net Banking,Website,908.25,139.75,0,908.25,
O00099,C0031,08-08-2024,Delivered,Credit Card,Website,279.2,69.8,49,328.2,2024-08-12
O00100,C0102,13-08-2025,Delivered,UPI,Mobile App,254.15,44.85,40,294.15,2025-08-17
O00101,C0414,11-12-2024,Delivered,UPI,Marketplace,719.1,79.9,0,719.1,2024-12-17
O00102,C0203,04-10-2024,Delivered,COD,Mobile App,279.2,69.8,40,319.2,2024-10-10
O00103,C0482,18-12-2025,Delivered,UPI,Website,1120.05,226.95,0,1120.05,2025-12-22
O00104,C0065,14-05-2024,Delivered,UPI,Website,1896.5,249.5,0,1896.5,2024-05-18
O00105,C0450,31-07-2025,Delivered,Credit Card,Marketplace,569.05,29.95,49,618.05,2025-08-03
O00106,C0177,20-10-2024,Delivered,COD,Marketplace,521.55,27.45,40,561.55,2024-10-26
O00107,C0097,25-02-2025,Delivered,UPI,Mobile App,1043.25,154.75,0,1043.25,2025-03-02
O00108,C0140,18-10-2024,Delivered,UPI,Website,629.1,69.9,49,678.1,2024-10-21
O00109,C0097,18-08-2024,Delivered,COD,Website,399.0,0.0,40,439.0,2024-08-22
O00110,C0191,19-04-2025,Delivered,UPI,Mobile App,539.1,59.9,40,579.1,2025-04-22
O00111,C0419,25-01-2025,Delivered,Debit Card,Website,673.2,74.8,40,713.2,2025-01-29
O00112,C0160,15-10-2025,Delivered,Credit Card,Website,699.0,0.0,0,699.0,2025-10-20
O00113,C0121,10-10-2025,Delivered,Net Banking,Mobile App,1617.3,179.7,0,1617.3,2025-10-15
O00114,C0080,15-01-2025,Delivered,Credit Card,Mobile App,399.0,0.0,49,448.0,2025-01-20
O00115,C0406,27-10-2024,In Transit,Debit Card,Mobile App,938.25,159.75,0,938.25,
O00116,C0249,24-12-2025,Delivered,Debit Card,Website,759.05,39.95,0,759.05,2025-12-31
O00117,C0284,29-10-2024,Delivered,UPI,Website,449.0,0.0,40,489.0,2024-11-03
O00118,C0338,05-07-2025,Delivered,Debit Card,Mobile App,664.05,34.95,40,704.05,2025-07-10
O00119,C0104,19-04-2024,Delivered,Credit Card,Mobile App,725.55,22.45,0,725.55,2024-04-27
O00120,C0240,16-08-2025,Cancelled,Net Banking,Website,1212.1,34.9,0,0.0,
O00121,C0052,24-08-2024,Delivered,Credit Card,Website,980.55,17.45,0,980.55,2024-08-28
O00122,C0453,30-10-2024,Delivered,UPI,Website,1666.25,129.75,0,1666.25,2024-11-05
O00123,C0131,03-01-2025,Delivered,UPI,Mobile App,2424.45,169.55,0,2424.45,2025-01-08
O00124,C0080,07-11-2024,Delivered,UPI,Mobile App,379.05,19.95,40,419.05,2024-11-13
O00125,C0406,24-10-2025,Delivered,UPI,Mobile App,339.15,59.85,49,388.15,2025-10-28
O00126,C0214,03-05-2024,Delivered,Debit Card,Mobile App,379.05,19.95,40,419.05,2024-05-07
O00127,C0168,29-05-2025,Delivered,Debit Card,Marketplace,2065.25,129.75,0,2065.25,2025-06-02
O00128,C0391,18-05-2024,Delivered,UPI,Mobile App,618.2,79.8,59,677.2,2024-05-20
O00129,C0217,09-01-2025,Delivered,Credit Card,Website,186.75,62.25,49,235.75,2025-01-14
O00130,C0080,13-08-2024,Returned,COD,Mobile App,778.15,69.85,0,778.15,2024-08-18
O00131,C0073,12-12-2025,Delivered,Credit Card,Mobile App,551.65,97.35,59,610.65,2025-12-15
O00132,C0484,19-10-2025,Delivered,COD,Website,1328.1,69.9,0,1328.1,2025-10-28
O00133,C0364,11-04-2024,Delivered,Credit Card,Website,339.15,59.85,40,379.15,2024-04-14
O00134,C0171,16-05-2025,Delivered,UPI,Website,708.35,139.65,0,708.35,2025-05-23
O00135,C0016,22-07-2025,Delivered,UPI,Website,296.65,52.35,59,355.65,2025-07-27
O00136,C0466,11-09-2025,Delivered,UPI,Website,758.1,39.9,0,758.1,2025-09-17
O00137,C0070,16-03-2025,In Transit,UPI,Marketplace,1756.55,239.45,0,1756.55,
O00138,C0212,25-02-2025,Delivered,Net Banking,Mobile App,2401.3,194.7,0,2401.3,2025-03-02
O00139,C0306,25-08-2024,Delivered,UPI,Mobile App,449.1,49.9,40,489.1,2024-09-01
O00140,C0071,16-06-2024,Delivered,Debit Card,Website,299.25,99.75,40,339.25,2024-06-18
O00141,C0225,23-09-2025,Delivered,Credit Card,Website,521.55,27.45,49,570.55,2025-09-27
O00142,C0293,31-08-2025,Delivered,Debit Card,Website,558.4,139.6,40,598.4,2025-09-05
O00143,C0392,07-10-2025,Delivered,Credit Card,Mobile App,1078.4,269.6,0,1078.4,2025-10-11
O00144,C0047,18-08-2025,Delivered,UPI,Website,474.05,24.95,49,523.05,2025-08-20
O00145,C0047,26-04-2024,Delivered,UPI,Mobile App,673.1,24.9,49,722.1,2024-05-01
O00146,C0077,15-06-2024,Delivered,Debit Card,Website,359.1,39.9,40,399.1,2024-06-22
O00147,C0002,29-09-2025,Delivered,Credit Card,Website,853.2,94.8,0,853.2,2025-10-04
O00148,C0420,22-10-2024,Delivered,UPI,Mobile App,1697.0,0.0,0,1697.0,2024-10-27
O00149,C0355,17-12-2025,Delivered,UPI,Website,1025.55,22.45,0,1025.55,2025-12-21
O00150,C0150,19-10-2025,Delivered,UPI,Website,449.25,149.75,59,508.25,2025-10-28
O00151,C0353,11-09-2025,In Transit,UPI,Mobile App,1279.65,67.35,0,1279.65,
O00152,C0067,21-09-2025,Delivered,Debit Card,Website,374.25,124.75,40,414.25,2025-09-24
O00153,C0408,30-04-2024,Delivered,Credit Card,Website,1518.1,79.9,0,1518.1,2024-05-05
O00154,C0131,10-03-2024,Delivered,UPI,Website,1130.55,17.45,0,1130.55,2024-03-14
O00155,C0470,30-04-2025,Delivered,Credit Card,Mobile App,2188.8,157.2,0,2188.8,2025-05-05
O00156,C0034,01-06-2024,Delivered,COD,Mobile App,695.85,152.15,49,744.85,2024-06-07
O00157,C0191,07-04-2025,Delivered,Credit Card,Website,549.0,0.0,59,608.0,2025-04-09
O00158,C0257,06-06-2024,Returned,Debit Card,Website,1837.4,259.6,0,1837.4,2024-06-12
O00159,C0352,31-08-2025,Delivered,Net Banking,Website,835.65,62.35,0,835.65,2025-09-04
O00160,C0396,27-03-2025,Delivered,UPI,Website,1966.35,229.65,0,1966.35,2025-03-31
O00161,C0277,17-08-2024,Returned,UPI,Website,279.2,69.8,59,338.2,2024-08-24
O00162,C0366,17-11-2025,Delivered,COD,Mobile App,958.1,39.9,0,958.1,2025-11-23
O00163,C0486,14-08-2025,Returned,UPI,Mobile App,1108.05,39.95,0,1108.05,2025-08-18
O00164,C0167,23-07-2025,Delivered,Credit Card,Website,336.75,112.25,49,385.75,2025-07-25
O00165,C0291,16-12-2024,Delivered,Debit Card,Website,2345.1,49.9,0,2345.1,2024-12-19
O00166,C0395,23-01-2025,Delivered,UPI,Website,424.15,74.85,40,464.15,2025-01-28
O00167,C0229,19-07-2024,Cancelled,UPI,Mobile App,1691.5,254.5,0,0.0,
O00168,C0314,06-06-2025,Delivered,UPI,Website,509.15,89.85,49,558.15,2025-06-09
O00169,C0202,02-10-2025,Delivered,UPI,Website,1577.2,69.8,0,1577.2,2025-10-11
O00170,C0069,12-08-2024,Delivered,Credit Card,Website,2217.85,177.15,0,2217.85,2024-08-15
O00171,C0296,25-05-2025,Delivered,Credit Card,Website,942.3,104.7,0,942.3,2025-05-31
O00172,C0073,23-06-2025,In Transit,Debit Card,Website,719.1,79.9,0,719.1,
O00173,C0380,10-11-2025,Delivered,Debit Card,Mobile App,509.15,89.85,49,558.15,2025-11-14
O00174,C0294,05-12-2024,In Transit,Net Banking,Website,381.65,67.35,59,440.65,
O00175,C0134,03-03-2024,Delivered,Credit Card,Mobile App,314.1,34.9,40,354.1,2024-03-08
O00176,C0143,09-11-2024,Cancelled,UPI,Website,449.1,49.9,0,0.0,
O00177,C0414,28-06-2024,Delivered,Credit Card,Mobile App,2663.8,182.2,0,2663.8,2024-07-02
O00178,C0108,14-08-2025,Delivered,Debit Card,Mobile App,616.55,32.45,59,675.55,2025-08-22
O00179,C0120,23-01-2025,Delivered,UPI,Website,1328.1,69.9,0,1328.1,2025-01-27
O00180,C0490,20-08-2025,Delivered,Net Banking,Mobile App,1677.2,119.8,0,1677.2,2025-08-25
O00181,C0354,03-07-2024,Delivered,UPI,Website,426.55,22.45,59,485.55,2024-07-07
O00182,C0481,31-08-2025,Cancelled,COD,Mobile App,1527.3,169.7,0,0.0,
O00183,C0496,08-07-2024,Delivered,UPI,Website,1627.25,119.75,0,1627.25,2024-07-14
O00184,C0490,17-08-2024,In Transit,UPI,Website,988.2,109.8,0,988.2,
O00185,C0133,19-08-2024,Delivered,Debit Card,Website,299.0,0.0,49,348.0,2024-08-22
O00186,C0464,04-02-2025,Delivered,COD,Website,848.3,149.7,0,848.3,2025-02-09
O00187,C0479,02-01-2025,Delivered,UPI,Marketplace,770.7,77.3,0,770.7,2025-01-05
O00188,C0496,28-01-2025,Delivered,UPI,Website,1248.0,0.0,0,1248.0,2025-02-06
O00189,C0330,11-11-2024,In Transit,Net Banking,Marketplace,679.15,119.85,49,728.15,
O00190,C0061,04-08-2024,Delivered,Credit Card,Mobile App,1996.1,49.9,0,1996.1,2024-08-10
