review_id,customer_id,product_id,order_id,rating,review_date
RV00001,C0047,P023,O00001,4,2024-06-19
RV00002,C0191,P001,O00003,5,2025-12-08
RV00003,C0087,P009,O00004,5,2025-08-29
RV00004,C0289,P007,O00009,1,2024-06-17
RV00005,C0476,P016,O00012,3,2025-10-04
RV00006,C0472,P006,O00013,4,2025-09-29
RV00007,C0355,P010,O00014,5,2024-04-01
RV00008,C0334,P006,O00015,4,2025-12-27
RV00009,C0374,P022,O00017,3,2025-07-31
RV00010,C0462,P004,O00020,5,2025-06-25
RV00011,C0164,P001,O00021,5,2025-09-06
RV00012,C0451,P004,O00022,5,2024-12-23
RV00013,C0347,P025,O00027,4,2024-08-15
RV00014,C0437,P014,O00028,4,2025-01-06
RV00015,C0142,P004,O00029,5,2025-11-10
RV00016,C0299,P002,O00033,3,2025-08-23
RV00017,C0010,P012,O00036,4,2025-11-12
RV00018,C0069,P005,O00037,3,2025-01-06
RV00019,C0145,P028,O00040,1,2024-05-02
RV00020,C0005,P002,O00043,5,2024-06-14
RV00021,C0419,P011,O00050,5,2024-08-21
RV00022,C0080,P012,O00061,4,2024-12-05
RV00023,C0207,P027,O00062,2,2024-04-27
RV00024,C0397,P028,O00065,2,2024-08-18
RV00025,C0282,P014,O00070,5,2025-04-27
RV00026,C0163,P008,O00071,3,2025-05-26
RV00027,C0335,P011,O00074,5,2024-06-09
RV00028,C0470,P018,O00076,4,2025-04-29
RV00029,C0455,P004,O00077,5,2024-11-17
RV00030,C0111,P004,O00080,5,2025-04-27
RV00031,C0405,P010,O00083,5,2025-01-29
RV00032,C0296,P004,O00084,5,2024-09-01
RV00033,C0387,P006,O00085,5,2024-08-14
RV00034,C0266,P016,O00088,4,2024-10-25
RV00035,C0235,P015,O00091,4,2025-12-02
RV00036,C0350,P005,O00093,5,2024-08-07
RV00037,C0187,P003,O00097,4,2025-02-18
RV00038,C0031,P009,O00099,5,2024-08-31
RV00039,C0102,P016,O00100,5,2025-09-06
RV00040,C0482,P019,O00103,4,2026-01-11
RV00041,C0450,P006,O00105,4,2025-08-08
RV00042,C0097,P010,O00109,5,2024-09-06
RV00043,C0284,P015,O00117,4,2024-11-04
RV00044,C0338,P007,O00118,3,2025-07-10
RV00045,C0104,P017,O00119,5,2024-04-25
RV00046,C0217,P028,O00129,3,2025-01-24
RV00047,C0016,P018,O00135,4,2025-08-04
RV00048,C0293,P011,O00142,4,2025-09-20
RV00049,C0047,P014,O00144,5,2025-08-25
RV00050,C0002,P012,O00147,5,2025-10-20
RV00051,C0470,P020,O00155,4,2025-05-15
RV00052,C0034,P014,O00156,4,2024-06-12
RV00053,C0486,P020,O00163,2,2025-08-21
RV00054,C0167,P015,O00164,5,2025-08-09
RV00055,C0395,P014,O00166,4,2025-02-14
RV00056,C0314,P002,O00168,3,2025-06-28
RV00057,C0296,P009,O00171,5,2025-05-31
RV00058,C0490,P006,O00180,4,2025-09-14
RV00059,C0354,P012,O00181,5,2024-07-08
RV00060,C0496,P025,O00183,5,2024-07-20
RV00061,C0464,P022,O00186,3,2025-02-25
RV00062,C0496,P024,O00188,2,2025-02-18
RV00063,C0061,P004,O00190,5,2024-08-17
RV00064,C0421,P012,O00191,4,2024-05-04
RV00065,C0069,P001,O00193,4,2024-04-29
RV00066,C0113,P027,O00195,4,2025-05-08
RV00067,C0394,P006,O00201,4,2025-09-09
RV00068,C0325,P010,O00203,5,2024-01-16
RV00069,C0377,P011,O00204,2,2024-03-19
RV00070,C0012,P018,O00208,4,2024-11-10
RV00071,C0336,P011,O00209,4,2025-11-05
RV00072,C0410,P001,O00214,1,2025-08-13
RV00073,C0101,P008,O00215,4,2025-02-15
RV00074,C0007,P024,O00216,5,2024-11-04
RV00075,C0072,P008,O00217,4,2025-09-14
RV00076,C0307,P017,O00220,3,2025-01-23
RV00077,C0392,P006,O00222,4,2024-04-25
RV00078,C0089,P007,O00225,5,2026-01-01
RV00079,C0301,P027,O00227,5,2024-08-01
RV00080,C0209,P009,O00229,4,2024-05-08
RV00081,C0352,P021,O00230,4,2025-04-21
RV00082,C0168,P012,O00233,5,2024-06-26
RV00083,C0244,P028,O00236,4,2025-08-03
RV00084,C0443,P009,O00238,2,2025-03-14
RV00085,C0219,P016,O00240,5,2024-08-26
RV00086,C0161,P009,O00245,4,2025-09-14
RV00087,C0482,P017,O00250,3,2025-06-05
RV00088,C0352,P016,O00252,5,2025-03-18
RV00089,C0476,P021,O00254,1,2025-04-21
RV00090,C0307,P009,O00257,4,2026-01-10
RV00091,C0487,P002,O00259,1,2024-06-11
RV00092,C0472,P028,O00261,4,2024-04-13
RV00093,C0067,P013,O00263,3,2024-08-20
RV00094,C0146,P021,O00264,4,2025-11-12
RV00095,C0268,P010,O00267,5,2025-03-17
RV00096,C0097,P004,O00271,5,2024-02-16
RV00097,C0138,P017,O00274,4,2025-11-19
RV00098,C0174,P009,O00275,4,2025-09-14
RV00099,C0342,P005,O00276,4,2024-11-07
RV00100,C0078,P011,O00280,5,2025-07-16
RV00101,C0265,P010,O00287,5,2025-09-04
RV00102,C0210,P024,O00293,4,2025-02-05
RV00103,C0491,P027,O00294,4,2025-08-11
RV00104,C0252,P002,O00295,3,2024-02-10
RV00105,C0348,P010,O00296,4,2024-11-27
RV00106,C0003,P020,O00303,5,2024-01-25
RV00107,C0345,P026,O00306,5,2025-12-24
RV00108,C0470,P010,O00309,3,2024-09-26
RV00109,C0356,P010,O00311,4,2024-03-25
RV00110,C0408,P011,O00312,5,2025-03-26
RV00111,C0182,P003,O00313,3,2025-03-20
RV00112,C0328,P021,O00317,3,2024-09-03
RV00113,C0097,P003,O00321,5,2025-07-25
RV00114,C0293,P010,O00324,4,2024-06-26
RV00115,C0189,P009,O00325,4,2025-06-14
